I0715 21:17:00.159240 131651929277952 run.py:722] (val) algo binary_search step 0: {'return': 0.0478515625, 'score': 0.0478515625, 'examples_seen': 96, 'step': 0, 'algorithm': 'binary_search'}
I0715 21:23:09.922020 131651929277952 run.py:722] (val) algo binary_search step 7050: {'return': 0.857666015625, 'score': 0.857666015625, 'examples_seen': 541866, 'step': 7050, 'algorithm': 'binary_search'}
I0715 21:23:12.051572 131651929277952 run.py:722] (val) algo binary_search step 7100: {'return': 0.900390625, 'score': 0.900390625, 'examples_seen': 545706, 'step': 7100, 'algorithm': 'binary_search'}
I0715 21:23:14.167802 131651929277952 run.py:722] (val) algo binary_search step 7150: {'return': 0.899658203125, 'score': 0.899658203125, 'examples_seen': 549512, 'step': 7150, 'algorithm': 'binary_search'}
I0715 21:23:16.319715 131651929277952 run.py:722] (val) algo binary_search step 7200: {'return': 0.932861328125, 'score': 0.932861328125, 'examples_seen': 553331, 'step': 7200, 'algorithm': 'binary_search'}
I0715 21:23:18.449734 131651929277952 run.py:722] (val) algo binary_search step 7250: {'return': 0.933837890625, 'score': 0.933837890625, 'examples_seen': 557148, 'step': 7250, 'algorithm': 'binary_search'}
I0715 21:23:20.589239 131651929277952 run.py:722] (val) algo binary_search step 7300: {'return': 0.90234375, 'score': 0.90234375, 'examples_seen': 561032, 'step': 7300, 'algorithm': 'binary_search'}
I0715 21:23:22.703848 131651929277952 run.py:722] (val) algo binary_search step 7350: {'return': 0.8779296875, 'score': 0.8779296875, 'examples_seen': 564894, 'step': 7350, 'algorithm': 'binary_search'}
I0715 21:23:24.828831 131651929277952 run.py:722] (val) algo binary_search step 7400: {'return': 0.88623046875, 'score': 0.88623046875, 'examples_seen': 568722, 'step': 7400, 'algorithm': 'binary_search'}
I0715 21:23:26.951541 131651929277952 run.py:722] (val) algo binary_search step 7450: {'return': 0.91943359375, 'score': 0.91943359375, 'examples_seen': 572558, 'step': 7450, 'algorithm': 'binary_search'}
I0715 21:23:29.054837 131651929277952 run.py:722] (val) algo binary_search step 7500: {'return': 0.893310546875, 'score': 0.893310546875, 'examples_seen': 576384, 'step': 7500, 'algorithm': 'binary_search'}
I0715 21:23:31.162507 131651929277952 run.py:722] (val) algo binary_search step 7550: {'return': 0.878173828125, 'score': 0.878173828125, 'examples_seen': 580185, 'step': 7550, 'algorithm': 'binary_search'}
I0715 21:23:33.271133 131651929277952 run.py:722] (val) algo binary_search step 7600: {'return': 0.86376953125, 'score': 0.86376953125, 'examples_seen': 583995, 'step': 7600, 'algorithm': 'binary_search'}
I0715 21:23:35.405266 131651929277952 run.py:722] (val) algo binary_search step 7650: {'return': 0.928955078125, 'score': 0.928955078125, 'examples_seen': 587866, 'step': 7650, 'algorithm': 'binary_search'}
I0715 21:23:37.575874 131651929277952 run.py:722] (val) algo binary_search step 7700: {'return': 0.7998046875, 'score': 0.7998046875, 'examples_seen': 591746, 'step': 7700, 'algorithm': 'binary_search'}
I0715 21:23:39.731697 131651929277952 run.py:722] (val) algo binary_search step 7750: {'return': 0.900146484375, 'score': 0.900146484375, 'examples_seen': 595568, 'step': 7750, 'algorithm': 'binary_search'}
I0715 21:23:41.920618 131651929277952 run.py:722] (val) algo binary_search step 7800: {'return': 0.90576171875, 'score': 0.90576171875, 'examples_seen': 599418, 'step': 7800, 'algorithm': 'binary_search'}
I0715 21:23:44.103529 131651929277952 run.py:722] (val) algo binary_search step 7850: {'return': 0.931640625, 'score': 0.931640625, 'examples_seen': 603243, 'step': 7850, 'algorithm': 'binary_search'}
I0715 21:23:46.230663 131651929277952 run.py:722] (val) algo binary_search step 7900: {'return': 0.91796875, 'score': 0.91796875, 'examples_seen': 607043, 'step': 7900, 'algorithm': 'binary_search'}
I0715 21:23:48.389491 131651929277952 run.py:722] (val) algo binary_search step 7950: {'return': 0.90185546875, 'score': 0.90185546875, 'examples_seen': 610867, 'step': 7950, 'algorithm': 'binary_search'}
I0715 21:23:50.559392 131651929277952 run.py:722] (val) algo binary_search step 8000: {'return': 0.912109375, 'score': 0.912109375, 'examples_seen': 614754, 'step': 8000, 'algorithm': 'binary_search'}
I0715 21:23:52.729813 131651929277952 run.py:722] (val) algo binary_search step 8050: {'return': 0.869873046875, 'score': 0.869873046875, 'examples_seen': 618627, 'step': 8050, 'algorithm': 'binary_search'}
I0715 21:23:54.841829 131651929277952 run.py:722] (val) algo binary_search step 8100: {'return': 0.88818359375, 'score': 0.88818359375, 'examples_seen': 622460, 'step': 8100, 'algorithm': 'binary_search'}
I0715 21:23:56.960432 131651929277952 run.py:722] (val) algo binary_search step 8150: {'return': 0.915283203125, 'score': 0.915283203125, 'examples_seen': 626309, 'step': 8150, 'algorithm': 'binary_search'}
I0715 21:23:59.085883 131651929277952 run.py:722] (val) algo binary_search step 8200: {'return': 0.892578125, 'score': 0.892578125, 'examples_seen': 630124, 'step': 8200, 'algorithm': 'binary_search'}
I0715 21:24:01.201895 131651929277952 run.py:722] (val) algo binary_search step 8250: {'return': 0.8740234375, 'score': 0.8740234375, 'examples_seen': 633931, 'step': 8250, 'algorithm': 'binary_search'}
I0715 21:24:03.358470 131651929277952 run.py:722] (val) algo binary_search step 8300: {'return': 0.939697265625, 'score': 0.939697265625, 'examples_seen': 637770, 'step': 8300, 'algorithm': 'binary_search'}
I0715 21:24:05.543866 131651929277952 run.py:722] (val) algo binary_search step 8350: {'return': 0.912353515625, 'score': 0.912353515625, 'examples_seen': 641653, 'step': 8350, 'algorithm': 'binary_search'}
I0715 21:24:07.700377 131651929277952 run.py:722] (val) algo binary_search step 8400: {'return': 0.879638671875, 'score': 0.879638671875, 'examples_seen': 645535, 'step': 8400, 'algorithm': 'binary_search'}
I0715 21:24:09.832752 131651929277952 run.py:722] (val) algo binary_search step 8450: {'return': 0.858642578125, 'score': 0.858642578125, 'examples_seen': 649367, 'step': 8450, 'algorithm': 'binary_search'}
I0715 21:24:12.013728 131651929277952 run.py:722] (val) algo binary_search step 8500: {'return': 0.905517578125, 'score': 0.905517578125, 'examples_seen': 653214, 'step': 8500, 'algorithm': 'binary_search'}
I0715 21:24:14.179841 131651929277952 run.py:722] (val) algo binary_search step 8550: {'return': 0.8798828125, 'score': 0.8798828125, 'examples_seen': 657034, 'step': 8550, 'algorithm': 'binary_search'}
I0715 21:24:16.340618 131651929277952 run.py:722] (val) algo binary_search step 8600: {'return': 0.726318359375, 'score': 0.726318359375, 'examples_seen': 660842, 'step': 8600, 'algorithm': 'binary_search'}
I0715 21:24:18.519249 131651929277952 run.py:722] (val) algo binary_search step 8650: {'return': 0.8994140625, 'score': 0.8994140625, 'examples_seen': 664664, 'step': 8650, 'algorithm': 'binary_search'}
I0715 21:24:20.694852 131651929277952 run.py:722] (val) algo binary_search step 8700: {'return': 0.877197265625, 'score': 0.877197265625, 'examples_seen': 668540, 'step': 8700, 'algorithm': 'binary_search'}
I0715 21:24:22.821074 131651929277952 run.py:722] (val) algo binary_search step 8750: {'return': 0.931396484375, 'score': 0.931396484375, 'examples_seen': 672406, 'step': 8750, 'algorithm': 'binary_search'}
I0715 21:24:24.983325 131651929277952 run.py:722] (val) algo binary_search step 8800: {'return': 0.8828125, 'score': 0.8828125, 'examples_seen': 676244, 'step': 8800, 'algorithm': 'binary_search'}
I0715 21:24:27.152683 131651929277952 run.py:722] (val) algo binary_search step 8850: {'return': 0.88037109375, 'score': 0.88037109375, 'examples_seen': 680084, 'step': 8850, 'algorithm': 'binary_search'}
I0715 21:24:29.330883 131651929277952 run.py:722] (val) algo binary_search step 8900: {'return': 0.844482421875, 'score': 0.844482421875, 'examples_seen': 683907, 'step': 8900, 'algorithm': 'binary_search'}
I0715 21:24:31.500059 131651929277952 run.py:722] (val) algo binary_search step 8950: {'return': 0.90576171875, 'score': 0.90576171875, 'examples_seen': 687706, 'step': 8950, 'algorithm': 'binary_search'}
I0715 21:24:33.656121 131651929277952 run.py:722] (val) algo binary_search step 9000: {'return': 0.900390625, 'score': 0.900390625, 'examples_seen': 691529, 'step': 9000, 'algorithm': 'binary_search'}
I0715 21:24:35.859331 131651929277952 run.py:722] (val) algo binary_search step 9050: {'return': 0.8525390625, 'score': 0.8525390625, 'examples_seen': 695422, 'step': 9050, 'algorithm': 'binary_search'}
I0715 21:24:38.035125 131651929277952 run.py:722] (val) algo binary_search step 9100: {'return': 0.869140625, 'score': 0.869140625, 'examples_seen': 699300, 'step': 9100, 'algorithm': 'binary_search'}
I0715 21:24:40.425902 131651929277952 run.py:722] (val) algo binary_search step 9150: {'return': 0.848876953125, 'score': 0.848876953125, 'examples_seen': 703148, 'step': 9150, 'algorithm': 'binary_search'}
I0715 21:24:42.541856 131651929277952 run.py:722] (val) algo binary_search step 9200: {'return': 0.900390625, 'score': 0.900390625, 'examples_seen': 706976, 'step': 9200, 'algorithm': 'binary_search'}
I0715 21:24:44.675488 131651929277952 run.py:722] (val) algo binary_search step 9250: {'return': 0.875, 'score': 0.875, 'examples_seen': 710797, 'step': 9250, 'algorithm': 'binary_search'}
I0715 21:24:46.800900 131651929277952 run.py:722] (val) algo binary_search step 9300: {'return': 0.9287109375, 'score': 0.9287109375, 'examples_seen': 714614, 'step': 9300, 'algorithm': 'binary_search'}
I0715 21:24:48.985982 131651929277952 run.py:722] (val) algo binary_search step 9350: {'return': 0.916259765625, 'score': 0.916259765625, 'examples_seen': 718432, 'step': 9350, 'algorithm': 'binary_search'}
I0715 21:24:51.159046 131651929277952 run.py:722] (val) algo binary_search step 9400: {'return': 0.88232421875, 'score': 0.88232421875, 'examples_seen': 722305, 'step': 9400, 'algorithm': 'binary_search'}
I0715 21:24:53.326306 131651929277952 run.py:722] (val) algo binary_search step 9450: {'return': 0.9169921875, 'score': 0.9169921875, 'examples_seen': 726188, 'step': 9450, 'algorithm': 'binary_search'}
I0715 21:24:55.453803 131651929277952 run.py:722] (val) algo binary_search step 9500: {'return': 0.90576171875, 'score': 0.90576171875, 'examples_seen': 730035, 'step': 9500, 'algorithm': 'binary_search'}
I0715 21:24:57.565413 131651929277952 run.py:722] (val) algo binary_search step 9550: {'return': 0.931640625, 'score': 0.931640625, 'examples_seen': 733888, 'step': 9550, 'algorithm': 'binary_search'}
I0715 21:24:59.736809 131651929277952 run.py:722] (val) algo binary_search step 9600: {'return': 0.93505859375, 'score': 0.93505859375, 'examples_seen': 737704, 'step': 9600, 'algorithm': 'binary_search'}
I0715 21:25:01.877959 131651929277952 run.py:722] (val) algo binary_search step 9650: {'return': 0.920166015625, 'score': 0.920166015625, 'examples_seen': 741526, 'step': 9650, 'algorithm': 'binary_search'}
I0715 21:25:04.030847 131651929277952 run.py:722] (val) algo binary_search step 9700: {'return': 0.908935546875, 'score': 0.908935546875, 'examples_seen': 745347, 'step': 9700, 'algorithm': 'binary_search'}
I0715 21:25:06.194262 131651929277952 run.py:722] (val) algo binary_search step 9750: {'return': 0.892578125, 'score': 0.892578125, 'examples_seen': 749232, 'step': 9750, 'algorithm': 'binary_search'}
I0715 21:25:08.391308 131651929277952 run.py:722] (val) algo binary_search step 9800: {'return': 0.9052734375, 'score': 0.9052734375, 'examples_seen': 753094, 'step': 9800, 'algorithm': 'binary_search'}
I0715 21:25:10.563236 131651929277952 run.py:722] (val) algo binary_search step 9850: {'return': 0.885009765625, 'score': 0.885009765625, 'examples_seen': 756931, 'step': 9850, 'algorithm': 'binary_search'}
I0715 21:25:12.733746 131651929277952 run.py:722] (val) algo binary_search step 9900: {'return': 0.83935546875, 'score': 0.83935546875, 'examples_seen': 760767, 'step': 9900, 'algorithm': 'binary_search'}
I0715 21:25:14.879607 131651929277952 run.py:722] (val) algo binary_search step 9950: {'return': 0.89111328125, 'score': 0.89111328125, 'examples_seen': 764588, 'step': 9950, 'algorithm': 'binary_search'}
I0715 21:25:16.518016 131651929277952 run.py:752] Restoring best model from checkpoint...
I0715 21:25:23.477618 131651929277952 run.py:767] (test) algo binary_search : {'return': 0.71435546875, 'score': 0.71435546875, 'examples_seen': 768330, 'step': 10000, 'algorithm': 'binary_search'}
I0715 21:25:23.477810 131651929277952 run.py:769] Done!
